Channel ID,Nome do Canal,Descrição,Inscritos,Visualizações,Vídeos Publicados
UCK4bL-Le7m4QlRSr8AWKS8g,Padre Fábio de Melo,"Fábio José de Melo Silva, mais conhecido como Padre Fábio de Melo (Formiga, 3 de abril de 1971), é um sacerdote católico, artista, cantor, escritor, professor universitário e apresentador. Pertenceu à Congregação dos Sacerdotes do Sagrado Coração de Jesus. Atua na Diocese de Taubaté, no interior do Estado de São Paulo. 

Atualmente está na estrada com o show que leva o título de seu novo single distribuído pela Altafonte “Este sou Eu” (2022). Ao todo, Padre Fábio já vendeu mais de 3 milhões de cópias de CDs (1,8 milhão apenas na Som Livre), além de 3,5 milhões de livros.

Como professor universitário, lecionou teologia na Faculdade Dehoniana de Taubaté. Apresentou por mais de uma década o programa Direção Espiritual, transmitido pela TV Canção Nova, às quintas-feiras. Em dezembro de 2019, entrou no ranking do instituto QualiBest como um dos maiores influenciadores digitais do Brasil.
",2000000,405046274,69
UCVLMRyUik9KrSdFdfRUiFgg,Bernardo P Küster,"Professor de  mais de 5000 alunos e jornalista. Diretor do jornal Brasil Sem Medo e criador do O Bom Combate e da formação Invencível de Defesa da Fé.
",1000000,96439657,551
UCEM5v04NVhae3ypC6FxWK-A,Padre Patrick Fernandes,"Padre Patrick Fernandes é um sacerdote da Diocese de Marabá - PA
Atualmente é pároco da Paróquia São Sebastião, em Parauapebas - PA, onde desenvolve diversas atividades pastorais, especialmente entre o público jovem.",258000,5929008,468
UCP6L9TPS3pHccVRiDB_cvqQ,Padre Paulo Ricardo,"Doutrina e apologética, liturgia e sacramentos, mandamentos e vida dos santos, oração e espiritualidade, história da Igreja e cultura cristã: tudo o que você precisa saber como católico está aqui.

Padre Paulo Ricardo de Azevedo Júnior é sacerdote da Arquidiocese de Cuiabá (MT) e, neste canal, você encontra homilias todos os dias, transmissões ao vivo nas segundas-feiras, direções espirituais e meditações diversas, tudo em conformidade com a doutrina de dois mil anos da Santa Igreja Católica.

Para conhecer todo o nosso apostolado na internet, visite nosso site oficial, abaixo.",1840000,339246583,5286
UCtqHcFD-YgmxTFRgH4KQAKg,OArcanjoNoAr,"WebTV da comunidade São Miguel Arcanjo (Região Episcopal Belém - Arquidiocese de São Paulo), que tem como pároco o Pe. Julio Lancellotti",92600,10307908,2103
UCzcO-rOfU2w-9qA2V4Q7TXw,Leonardo Dall'Osto,,3270,111198,132
UCFwNUC0pr5lK8fYBMYBxmkw,Padre Leonardo,Espaço para reflexão e partilha sobre a Palavra de Deus e assuntos relacionados a Santa Igreja Católica.,549000,35083388,1352
UCTHs2EYw7eUCiAZdrztxYEA,Padre José Eduardo,Um sacerdote de Jesus Cristo,108000,4880187,2352
