Nome do Canal,Total de Vídeos,Total de Curtidas
Padre Fábio de Melo,0,0
Bernardo P Küster,14,106548
Padre Patrick Fernandes,97,91088
Padre Paulo Ricardo,310,2978783
OArcanjoNoAr,197,114405
Leonardo Dall'Osto,7,603
Padre Leonardo,80,304367
Padre José Eduardo,181,161608
