padre1,padre2,category,count1,count2,percentage1,percentage2,chi2,p_value,significance
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,funct,4113,45119,45.20773796438778,48.62747211294929,6.195941135291762,0.01280436166936645,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,pronoun,1454,17691,15.981534403165533,19.06665948159724,6.077355445658178,0.013692559902246137,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,ppron,992,11185,10.903495273686524,12.054750229024089,0.10388954644442955,0.7472110304502273,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,you,638,8290,7.01253022642339,8.934633830899392,10.468114597773091,0.0012145260772084155,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,shehe,617,7376,6.781710265992526,7.949560812631352,1.3386544667768798,0.24727139513544955,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,ipron,979,12828,10.760606726753132,13.825510588996066,18.423697832301833,1.7684493459915218e-05,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,article,697,8052,7.661024400967245,8.67812685240071,0.12435328417888004,0.7243601377636111,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,social,1622,18939,17.82809408661244,20.41170447809452,0.940967833104136,0.332029063988986,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,preps,1300,13115,14.288854693339196,14.134827827773885,18.20202795088145,1.9866718394733054e-05,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,auxverb,671,6185,7.375247307100461,6.665948159724093,27.785029370558853,1.3557111926065218e-07,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,present,859,8806,9.441635524291051,9.49075820445115,8.968684297208739,0.0027464630292689815,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,verb,1098,12261,12.068586502528028,13.214420434337445,0.424845953634683,0.5145288586076406,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,relativ,1923,18616,21.136513519454823,20.06358786441774,48.909082087925015,2.6810641700942263e-12,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,time,489,5444,5.374807650032974,5.867327693053834,0.24542511024177432,0.6203149809901725,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,work,233,2319,2.561002418113871,2.4993263997413377,3.9047852428067573,0.04814878098734124,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,cogmech,2516,31537,27.654429544954933,33.989330171902786,23.179248697340558,1.4758130167887782e-06,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,incl,1138,11461,12.508243570015388,12.352212103249448,16.30723302785835,5.3857981884457336e-05,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,space,963,9574,10.584743899758188,10.31847820229563,16.73652758702224,4.294613121806023e-05,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,nonfl,214,2820,2.3521653110573757,3.039284367085197,4.244413716298167,0.03937966435375679,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,conj,692,8772,7.606067267531326,9.45411435037991,7.473920060888742,0.006259910246944163,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,insight,309,5360,3.396350846339855,5.776795818289594,53.115080119372436,3.145681739841817e-13,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,percept,338,3341,3.7151022202681903,3.6007975427062564,6.269532974710897,0.012283151452605997,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,humans,539,3898,5.924378984392174,4.201110093226276,100.6778035431889,1.082316886758179e-23,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,inhib,267,2845,2.9347109254781274,3.066228377431697,1.106380300016817,0.29287014662137745,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,bio,385,4254,4.231699274565838,4.584792800560435,0.3377298412669555,0.5611425407486635,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,health,80,496,0.8793141349747198,0.5345691652745596,26.34866116369327,2.8501641066455616e-07,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,motion,442,4604,4.858210595735327,4.962008945411435,3.292041470698211,0.06961641543975532,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,achieve,218,1615,2.3961310178061117,1.7405830683838983,36.32048388913072,1.6739521757513003e-09,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,money,138,1524,1.5168168828313917,1.6425068707226382,0.12433894164522549,0.7243753859580564,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,discrep,413,5442,4.539459221806991,5.8651721722261145,8.242768479288129,0.004091467884451151,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,tentat,514,8223,5.649593317212574,8.862423883170772,57.498273908007704,3.382760175690264e-14,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,excl,437,6780,4.803253462299407,7.307215605970793,40.15189259738231,2.349637433591118e-10,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,cause,237,3582,2.6049681248626078,3.860537802446516,18.02994181422853,2.174577046689633e-05,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,affect,702,8231,7.715981534403165,8.87104596648165,0.5415344276250482,0.4617975047165501,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,posemo,485,5264,5.330841943284239,5.673330818559035,1.0653685124957393,0.3019939374782896,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,quant,280,3890,3.077599472411519,4.192488009915396,10.408377740462843,0.0012544489692681354,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,swear,417,4677,4.583424928555727,5.040685455623216,0.0967387313826385,0.7557789511900175,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,feel,123,1066,1.3519454825236314,1.1488926011747589,8.333450073779762,0.003892167003307609,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,ingest,398,4453,4.37458782149923,4.799267122918575,0.1230258078732977,0.7257756486132951,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,body,147,2221,1.6157397230160475,2.3937058791830577,11.115488348560424,0.0008560978037777735,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,hear,114,1277,1.2530226423389756,1.3763000484992187,0.03052957014850182,0.8612940486094297,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,leisure,74,642,0.8133655748516158,0.6919221856981194,4.970037143198651,0.02579009363135411,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,relig,154,2631,1.6926797098263355,2.835587648865657,24.365997406238844,7.966243879692211e-07,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,certain,65,1346,0.7144427346669597,1.4506655170555585,22.874374501804457,1.7294219325406023e-06,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,past,205,2134,2.2532424708727192,2.299940723177238,1.5376862722027422,0.2149625277147372,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,i,276,1206,3.033633765662783,1.2997790591151586,223.43833194849157,1.6085016454515652e-50,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,family,45,253,0.4946142009232798,0.2726733847065797,19.884617827056754,8.225953893092495e-06,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,adverb,239,3411,2.6269509782369758,3.676240771676456,11.477383460689333,0.0007044824170611847,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,see,43,770,0.4726313475489119,0.8298755186721992,8.482936877539716,0.0035849289665219,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,they,126,2015,1.3849197625851837,2.171687233927898,13.830519287570967,0.00020006007590561792,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,negemo,202,2385,2.220268190811168,2.5704585870560974,0.23713023535877825,0.6262865367352133,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,sad,52,740,0.5715541877335678,0.7975427062563992,2.4153618800373278,0.12015020164961136,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,death,32,166,0.3517256539898878,0.1789082287007598,17.494645991086927,2.8811791391055508e-05,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,anx,54,357,0.5935370411079358,0.3847604677480196,14.260996548915136,0.00015912834075193153,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,anger,98,962,1.0771598153440316,1.036805518133319,1.9854002977552654,0.15882265074977842,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,sexual,93,959,1.0222026819081118,1.033572236891739,0.8478067828933391,0.35717352953329495,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,number,93,1310,1.0222026819081118,1.4118661421565986,3.933468015740134,0.0473342354545212,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,negate,66,1587,0.7254341613541437,1.7104057767958185,37.16843053707925,1.0835379429775773e-09,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,friend,52,419,0.5715541877335678,0.4515816134073395,5.61612041638078,0.017795999875842752,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,we,50,476,0.5495713343591998,0.5130139569973595,1.46739932807232,0.22575646980691497,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,assent,47,361,0.5165970542976479,0.3890715094034596,6.559343930559666,0.010433482582705815,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,home,41,165,0.4506484941745438,0.1778304682868998,38.91944817158927,4.416585694129187e-10,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,future,32,568,0.3517256539898878,0.6121679150724795,6.05933332524059,0.013832989507839856,yes
