Tópico,Palavras
Tópico 0,"senhor, deus, jesus, gente, vida, cristo, fazendo, amor, trabalho, pai"
Tópico 1,"deus, senhor, gente, parte, jesus, vida, fazemos, fazendo, cristo, santo"
Tópico 2,"senhor, deus, lá, luz, terra, santo, vida, amor, igreja, espírito"
Tópico 3,"parte, fazemos, senhor, deus, vida, todos, jesus, sebastião, santo, cristo"
