num_topics,u_mass,c_uci,c_npmi,c_v,perplexity,diversity,irbo,jaccard
2,-5.742309931458035,-5.1532151479245565,-0.012421984988526896,0.769228111486882,1542.494996342122,0.95,0.00871031799,0.9473684210526316
4,-6.1888767092476,-4.797048913685956,0.00784257021808156,0.7938103422522546,1231.783430310074,0.85,0.0335922975503954,0.9407894736842106
6,-5.5293260302432765,-4.664930675857065,0.01456696076258035,0.7694486753394206,1221.0467680863965,0.7666666666666667,0.04722595976898299,0.9116959064327486
8,-7.403790432310194,-5.81109409809108,-0.06270101715804141,0.7685355227440596,1169.6078904286069,0.725,0.02535398726768494,0.933707374496848
10,-9.104556923509659,-6.829710265495793,-0.10452466449567951,0.7795633685588836,1151.9359959211295,0.77,0.029158084608951817,0.952620459844402
12,-7.901533966831907,-6.50242070925631,-0.08742896786341998,0.8114410209159058,1179.063363526489,0.7666666666666667,0.019457813082578847,0.9520690945543183
14,-9.4436395848988,-8.14657888581232,-0.16258356858678433,0.8062349151287761,1057.6648928322873,0.8571428571428571,0.010018444104095367,0.9858668163621724
16,-9.942387310043214,-7.665016788464228,-0.14766071735663025,0.8110732505097986,1023.1883034151986,0.84375,0.010300908816830356,0.9825727906997258
18,-9.824210639078963,-7.6387190569899035,-0.14589053286419743,0.8210448005133204,1078.2642868700796,0.7944444444444444,0.011394829584413265,0.9809300741280345
20,-10.049784574357691,-8.234329274520295,-0.16682718452884715,0.8362841619551181,1078.969652834884,0.845,0.009166246423204348,0.9894198214835335
22,-10.359292464475589,-8.45337281894005,-0.18145172713852123,0.8517558059909127,1058.3425339187002,0.8318181818181818,0.007625397559263848,0.9869875852847989
24,-10.047003290591716,-7.143664436635958,-0.10883758132166325,0.8562867065270744,1079.5642019129168,0.7875,0.014449028998439993,0.9808738057408807
26,-12.111296327800734,-8.572558194752293,-0.17672021572973026,0.8693797929928855,1125.7142156732073,0.8615384615384616,0.007405940620365227,0.9916477468180256
28,-11.004406036665511,-8.449721601259713,-0.1765560162014265,0.8686169019767218,1093.9429601637987,0.8428571428571429,0.008150306310366591,0.9913591167461135
