Tópico,Palavras
Tópico 0,"padre, júlio, lancelotti, senhor, anos, you, apoio, paulo, pessoas, olá"
Tópico 1,"padre, júlio, trabalho, domingo, dia, gente, falar, jesus, senhor, apoio"
Tópico 2,"júlio, padre, nome, luta, jesus, olá, anos, senhor, lancelotti, querido"
Tópico 3,"padre, júlio, lancelotti, paulo, nome, trabalho, hoje, rua, miguel, olá"
